acousticness,danceability,duration_s,energy,explicit,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,popularity_over75
0.00644,0.452,33.83,0.738,0,0.0,1,0.375,-6.7360000000000015,1,0.193,115.73700000000001,0.7609999999999999,0
0.00614,0.574,31.83,0.731,0,0.0,7,0.483,-6.6160000000000005,1,0.121,135.92600000000002,0.8740000000000001,0
0.0597,0.696,40.57,0.727,0,0.0,11,0.316,-8.107000000000001,1,0.235,109.916,0.8220000000000001,0
0.000487,0.358,32.31,0.8640000000000001,0,2.6700000000000002e-05,0,0.322,-6.728,1,0.36200000000000004,138.467,0.7859999999999999,0
0.0129,0.595,33.04,0.589,0,0.0,7,0.401,-7.49,1,0.324,86.37299999999998,0.934,0
0.0026100000000000003,0.39799999999999996,35.57,0.888,0,0.0,6,0.39899999999999997,-6.211,0,0.363,136.148,0.37799999999999995,0
0.000251,0.4320000000000001,32.67,0.93,0,0.000348,6,0.39399999999999996,-7.056,0,0.161,132.928,0.6829999999999999,0
0.0224,0.593,32.08,0.483,0,0.0,5,0.723,-7.4170000000000025,0,0.20199999999999999,130.539,0.8140000000000001,0
0.434,0.727,38.33,0.767,0,0.0,0,0.532,-7.291,1,0.536,127.471,0.9690000000000001,0
0.00231,0.75,360.0,0.564,0,0.92,5,0.0812,-5.902,1,0.0518,128.013,0.253,0
0.0026899999999999997,0.7,360.779,0.525,0,0.9540000000000001,5,0.0904,-6.83,1,0.0436,127.99799999999999,0.302,0
0.0205,0.599,472.955,0.8079999999999999,0,0.0889,7,0.18100000000000002,-9.849,0,0.0623,135.994,0.102,0
0.0373,0.579,321.245,0.925,0,0.848,0,0.7659999999999999,-6.104,0,0.0352,138.006,0.141,0
0.00743,0.58,384.0,0.892,0,0.611,2,0.0468,-7.598,0,0.0853,134.966,0.718,0
0.000343,0.609,232.53400000000002,0.97,0,0.883,8,0.28600000000000003,-2.309,1,0.0813,127.95299999999999,0.264,0
0.000254,0.685,334.796,0.7240000000000001,0,0.892,0,0.32799999999999996,-7.277,0,0.078,132.035,0.446,0
0.000109,0.632,380.0,0.7659999999999999,0,0.889,5,0.10800000000000001,-12.017000000000001,1,0.0645,134.99,0.397,0
9.070000000000001e-05,0.575,458.18199999999996,0.963,0,0.342,11,0.381,-3.6239999999999997,0,0.0463,132.019,0.534,0
0.0006,0.65,348.923,0.956,0,0.636,10,0.0496,-4.575,0,0.0458,129.994,0.12,0
0.00164,0.737,381.99300000000005,0.917,0,0.858,7,0.782,-7.112,0,0.0675,133.00799999999998,0.812,0
0.00019099999999999998,0.613,438.481,0.8009999999999999,0,0.0488,1,0.133,-7.7,0,0.0457,129.997,0.156,0
0.139,0.342,303.36,0.511,0,0.0,11,0.27,-8.342,1,0.0402,124.421,0.136,0
0.000666,0.662,445.724,0.9390000000000001,0,0.889,8,0.0927,-4.681,0,0.0806,132.999,0.5429999999999999,0
0.00471,0.585,420.0,0.9209999999999999,0,0.927,6,0.0911,-7.209,0,0.0462,127.992,0.435,0
0.6,0.358,293.0,0.198,0,0.46,9,0.149,-13.536,1,0.0286,87.97,0.20600000000000002,0
0.847,0.644,95.25299999999999,0.369,1,0.0,11,0.904,-19.426,1,0.9540000000000001,65.732,0.5,0
