Country,Date,Song_Title,Artist,Streams,Rank
Global,2020-02-11,Life Is Good (feat. Drake),Future,"4,047,932",8
Global,2020-02-11,ROXANNE,Arizona Zervas,"3,856,015",9
Global,2020-02-11,Yummy,Justin Bieber,"3,764,903",10
Global,2020-02-12,The Box,Roddy Ricch,"6,368,620",1
Global,2020-02-12,Dance Monkey,Tones And I,"6,295,657",2
Global,2020-02-12,Blinding Lights,The Weeknd,"5,908,212",3
Global,2020-02-12,Don't Start Now,Dua Lipa,"4,888,722",4
Global,2020-02-12,Tusa,"KAROL G, Nicki Minaj","4,296,452",5
Global,2020-02-12,Falling,Trevor Daniel,"4,117,455",6
Global,2020-02-12,Intentions,"Justin Bieber, Quavo","4,052,076",7
Global,2020-02-12,Life Is Good (feat. Drake),Future,"4,006,486",8
Global,2020-02-12,ROXANNE,Arizona Zervas,"3,873,144",9
Global,2020-02-12,Yummy,Justin Bieber,"3,749,587",10
Global,2020-02-13,Dance Monkey,Tones And I,"6,360,459",1
Global,2020-02-13,The Box,Roddy Ricch,"6,338,717",2
Global,2020-02-13,Blinding Lights,The Weeknd,"5,965,487",3
Global,2020-02-13,Don't Start Now,Dua Lipa,"4,914,278",4
Global,2020-02-13,Tusa,"KAROL G, Nicki Minaj","4,330,186",5
Global,2020-02-13,Falling,Trevor Daniel,"4,174,185",6
Global,2020-02-13,Intentions,"Justin Bieber, Quavo","4,096,832",7
Global,2020-02-13,Life Is Good (feat. Drake),Future,"3,972,395",8
Global,2020-02-13,ROXANNE,Arizona Zervas,"3,922,960",9
Global,2020-02-13,Yummy,Justin Bieber,"3,744,688",10
Global,2020-02-14,No Time To Die,Billie Eilish,"7,166,720",1
Global,2020-02-14,Dance Monkey,Tones And I,"6,761,024",2
Global,2020-02-14,The Box,Roddy Ricch,"6,614,317",3
Global,2020-02-14,Blinding Lights,The Weeknd,"6,394,628",4
Global,2020-02-14,Intentions (feat. Quavo),Justin Bieber,"5,863,115",5
Global,2020-02-14,Don't Start Now,Dua Lipa,"5,130,271",6
Global,2020-02-14,Yummy,Justin Bieber,"4,939,618",7
Global,2020-02-14,Tusa,"KAROL G, Nicki Minaj","4,729,359",8
