name,artist,year,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence,artists+name
"A State Of Trance (ASOT 995) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 2",'Armin van Buuren',2020,0.00021,0.261,31.62,0.8909999999999999,0,1.44e-05,7,0.293,-6.621,1,32,0.225,131.767,0.934,"'Armin van Buuren'A State Of Trance (ASOT 995) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 2"
"A State Of Trance (ASOT 995) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 3",'Armin van Buuren',2020,0.00931,0.578,32.34,0.522,0,0.0,2,0.298,-7.157,0,32,0.362,132.724,0.75,"'Armin van Buuren'A State Of Trance (ASOT 995) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 3"
"A State Of Trance (ASOT 996) - Tune Of The Year 2019 Top 3, Pt. 2",'Armin van Buuren',2020,0.00499,0.397,36.5,0.638,0,0.0,2,0.364,-7.256,1,30,0.17600000000000002,134.284,0.677,"'Armin van Buuren'A State Of Trance (ASOT 996) - Tune Of The Year 2019 Top 3, Pt. 2"
"A State Of Trance (ASOT 996) - Tune Of The Year 2019 Top 3, Pt. 1",'Armin van Buuren',2020,0.0236,0.542,33.8,0.794,0,0.0,7,0.14800000000000002,-6.4129999999999985,1,30,0.303,143.377,0.81,"'Armin van Buuren'A State Of Trance (ASOT 996) - Tune Of The Year 2019 Top 3, Pt. 1"
"A State Of Trance (ASOT 995) - Tune Of The Year 2020 Special Episode, Pt. 1",'Armin van Buuren',2020,0.0582,0.583,31.54,0.879,0,0.0,6,0.3,-7.717,0,30,0.325,130.629,0.615,"'Armin van Buuren'A State Of Trance (ASOT 995) - Tune Of The Year 2020 Special Episode, Pt. 1"
"A State Of Trance (ASOT 994) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1",'Armin van Buuren',2020,0.282,0.675,33.08,0.7190000000000001,0,0.0,1,0.609,-6.893,1,30,0.334,130.582,0.815,"'Armin van Buuren'A State Of Trance (ASOT 994) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1"
"A State Of Trance (ASOT 994) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 2",'Armin van Buuren',2020,0.00104,0.364,33.58,0.875,0,0.0,6,0.0802,-6.375,0,30,0.0909,132.955,0.6659999999999999,"'Armin van Buuren'A State Of Trance (ASOT 994) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 2"
"A State Of Trance (ASOT 994) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 3",'Armin van Buuren',2020,0.153,0.597,32.25,0.7859999999999999,0,0.0,1,0.384,-7.28,1,30,0.354,83.68299999999998,0.599,"'Armin van Buuren'A State Of Trance (ASOT 994) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 3"
All Of A Sudden - Remastered 2010,'Matt Monro',2020,0.647,0.249,203.093,0.336,0,0.000197,7,0.442,-13.452,1,12,0.0465,175.408,0.16699999999999998,'Matt Monro'All Of A Sudden - Remastered 2010
Cool for the Summer,'Demi Lovato',2020,0.00425,0.583,214.74,0.61,1,0.000105,5,0.14,-5.6389999999999985,0,20,0.0382,114.06,0.336,'Demi Lovato'Cool for the Summer
Somebody To You,'The Vamps',2020,0.0665,0.525,185.093,0.816,0,0.0,3,0.325,-5.977,1,10,0.0337,172.005,0.9,'The Vamps'Somebody To You
Friends,'Justin Bieber',2020,0.00389,0.743,189.467,0.735,0,0.0,8,0.304,-5.3370000000000015,1,14,0.0382,104.979,0.631,'Justin Bieber'Friends
Each Year - Live in Kyoto 2010,'Ra Ra Riot',2020,0.0675,0.212,242.16,0.866,0,0.0,11,0.198,-5.709,0,4,0.206,159.632,0.282,'Ra Ra Riot'Each Year - Live in Kyoto 2010
Thunder,'Imagine Dragons',2020,0.00866,0.601,187.147,0.8240000000000001,0,0.173,0,0.155,-4.757,1,20,0.0474,167.965,0.246,'Imagine Dragons'Thunder
"Year,2015",'Schoolgirl Byebye',2020,0.969,0.314,74.302,0.0855,0,0.795,9,0.16,-15.775,1,18,0.0342,69.893,0.161,"'Schoolgirl Byebye'Year,2015"
"A State Of Trance (ASOT 996) - Tune Of The Year 2019 Top 3, Pt. 2",'Armin van Buuren',2020,0.00499,0.397,36.5,0.638,0,0.0,2,0.364,-7.256,1,30,0.17600000000000002,134.284,0.677,"'Armin van Buuren'A State Of Trance (ASOT 996) - Tune Of The Year 2019 Top 3, Pt. 2"
"A State Of Trance (ASOT 996) - Tune Of The Year 2019 Top 3, Pt. 1",'Armin van Buuren',2020,0.0236,0.542,33.8,0.794,0,0.0,7,0.14800000000000002,-6.4129999999999985,1,30,0.303,143.377,0.81,"'Armin van Buuren'A State Of Trance (ASOT 996) - Tune Of The Year 2019 Top 3, Pt. 1"
Sun 2011 - Mixed,'Slusnik Luna',2020,0.000102,0.594,436.11,0.961,0,0.909,7,0.118,-7.649,1,12,0.0484,127.97,0.0476,'Slusnik Luna'Sun 2011 - Mixed
Bad Year Blimp - Mixed,'Matt Lange',2020,3.64e-05,0.657,355.375,0.851,0,0.7909999999999999,6,0.0986,-7.893,0,11,0.0546,124.697,0.0954,'Matt Lange'Bad Year Blimp - Mixed
Sun 2011 - Edit,'Slusnik Luna',2020,2.97e-05,0.506,223.523,0.952,0,0.8440000000000001,1,0.0389,-6.557,0,6,0.0439,131.997,0.149,'Slusnik Luna'Sun 2011 - Edit
Year 2020,'Ema Spatula',2020,0.165,0.6990000000000001,83.853,0.5579999999999999,0,0.883,9,0.0932,-14.713,1,30,0.0541,99.996,0.398,'Ema Spatula'Year 2020
"Year,2015",'Schoolgirl Byebye',2020,0.969,0.314,74.302,0.0855,0,0.795,9,0.16,-15.775,1,18,0.0342,69.893,0.161,"'Schoolgirl Byebye'Year,2015"
Longest Year - 2020,'Hammock',2020,0.7,0.0692,533.707,0.285,0,0.6729999999999999,2,0.199,-14.854,1,36,0.0482,78.572,0.0312,'Hammock'Longest Year - 2020
"A State Of Trance (ASOT 995) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1",'Armin van Buuren',2020,0.122,0.6779999999999999,31.75,0.529,0,0.0,10,0.46,-7.468,1,32,0.363,130.26,0.921,"'Armin van Buuren'A State Of Trance (ASOT 995) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1"
"A State Of Trance (ASOT 995) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 2",'Armin van Buuren',2020,0.00021,0.261,31.62,0.8909999999999999,0,1.44e-05,7,0.293,-6.621,1,32,0.225,131.767,0.934,"'Armin van Buuren'A State Of Trance (ASOT 995) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 2"
"A State Of Trance (ASOT 995) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 3",'Armin van Buuren',2020,0.00931,0.578,32.34,0.522,0,0.0,2,0.298,-7.157,0,32,0.362,132.724,0.75,"'Armin van Buuren'A State Of Trance (ASOT 995) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 3"
